itemId,Nama Barang,Harga,Terjual,Review,Rating
8315550138,Consina Rain Cover Waterproof Pelindung Tas Ransel Anti Air 40L,65000,0,,
8315182414,Consina Community Tent Tenda Camping Outdoor | Outbound Campervan Basecamp Dining tent,3995000,0,,
8315348868,Consina Rain Cover Waterproof Pelindung Tas Ransel Anti Air 80L,90000,0,,
7891256242,CONSINA BOTOL MINUM PORTABLE CUP 600ML,60000,0,17,4.764705882352941
8297660366,Consina Safaris Chair Kursi Lipat Camping | Outdoor Camper Van Outbound,325000,0,,
745080796,Consina S Biner Mini Carabiner Multifungsi,25000,0,32,4.4375
8225126194,CONSINA BOTOL MINUM  VACUM STAINLESS OUTDOOR CAMPING TRAVEL 600ML,95000,0,1,1.0
427819771,Consina Cover Bag 20L Pelindung Tas Hujan Waterproof Rain Cover,54000,0,84,4.904761904761905
7705278738,CONSINA CAPITAL ROMPI VEST URBAN TRAVELLING,242550,0,44,4.9772727272727275
8283574780,Consina Bucket Hat Britania Topi Outdoor Camping Gunung Pantai,75000,0,1,5.0
384437809,Consina Matras Sleep Warm Alumunium Foil,75000,0,62,4.905982905982906
1168550397,Masker 02 Hijab Non Medis Two Layer Special Pack Isi 3 Pcs,35000,0,56,4.821428571428571
8250250581,CONSINA LIGHT CAMPING LAMP LAMPU TENDA OUTDOOR HIKING CAMPING TERANG | MAGNETIC EMERGENCY  MULTIFUNGSI,75000,0,,
7783724788,Consina Auckland Tas Selempang Pria Urban,195000,0,5,5.0
8259582799,"CONSINA LANYARD 11,60cm 100CM CLIMBING",300000,0,,
8300980478,CONSINA BELT 12 IKAT PINGGANG SABUK TACTICAL OUTDOOR GUNUNG NILON,50000,0,1,5.0
7689598243,CONSINA POLO SHIRT 11 KAOS POLO LENGAN PENDEK,215000,0,11,4.7272727272727275
7280912431,CONSINA CAMPING LAMP LAMPU TENDA | OUTDOOR GUNUNG CAMPERVAN RECHARGE,110000,0,2,5.0
650800860,Consina Dompet DC 020,79000,0,49,4.8979591836734695
5750110626,Consina Milford Brohers Tas Selempang Sling Bag Travel Outdoot Unisex,133650,0,214,4.878504672897196
8211378448,CONSINA CONZERO SEPATU RUNNING ROAD SHOES,671716,0,4,5.0
7921772226,Consina Everest Tas Ransel Gunung 60+5L Batch 2,950000,0,30,4.8
7715232526,Consina Ashland Tas Slempang,173250,0,95,4.926315789473684
387505097,Consina Rain Cover Waterproof Pelindung Tas Ransel Anti Air 60L,80000,0,537,4.906890130353817
7818082053,Consina Monserreta Kemeja Pria/Wanita Lengan Panjang/Kemeja Lapangan/Quick Dry,345000,0,1,5.0
341101416,Consina Balige Tas Slempang/Pinggang Hiking,193050,0,246,4.9465478841870825
666152317,Consina Spacious Tas Ransel 21 Liter Included Rain Cover,175000,0,714,4.858814923189466
1014608756,Consina Cape Town 2 Tas Selempang Hiking Unisex,247500,0,431,4.9466357308584685
971646179,Consina TPR 003 Topi Outdoor Gunung Running Trail Hiking Quickdry Material Super LIght,94050,0,78,4.833333333333333
6789828335,Consina Sa Caleta Tas Slempang Waist Bag,173250,0,15,5.0
7412452812,Consina Heff Mulitifunctional Headwear Buff,65000,0,36,4.805555555555555
8225052633,CONSINA COLD & HOT TUMBLER BOTOL MINUM OLAHRAGA 500ml,128700,0,3,5.0
7869664611,CONSINA MIDWAY CELANA PENDEK GUNUNG TRAVEL,195000,0,7,4.857142857142857
6802550834,Consina Sandal Anak Outdoor Gunung Hiking Camping Moramo | Super Light Nyaman,95040,0,36,4.861111111111111
8190720135,CONSINA COOKING SET CAMPING DS-508,450000,0,,
8266506332,Consina Paket Bundling Caracas Tas Ransel Jaring 15L Travel Buy 1 Get 1 | Include Rain Cover,135000,0,6,4.333333333333333
1472710801,Consina Rover Celana Pendek Outdoor Gunung Travel Hiking Olahraga Sepeda Quickdry,210000,0,134,4.895522388059701
6933480418,Consina Mount Ventoux Sling Bag Tas Bahu Selempang | Outdoor Pantai Travel,215000,0,12,5.0
8175402532,Consina Frame Magnum 4 Tenda - Frame Utama - Fame Teras,110000,0,6,4.0
6534874102,Consina Vaeroy Tas Slempang Wais Bag Pria/wanita,155000,0,18,4.631578947368421
8083106017,CONSINA TOPI ACAPULCO BUCKET HAT UNISEX,75000,0,5,5.0
8147806744,CONSINA MIKI HAT TOPI  PECI,95000,0,1,5.0
7942270769,Consina TPJ 40 Topi Snapback,110000,0,1,3.0
3355706017,Consina Cycling Vest Rompi Sepeda,79000,0,15,4.933333333333334
7942188698,Consina TPJ 41 Topi Snapback,110000,0,3,5.0
7856824187,Consina X Inge Anugrah Woman Vest Rompi Olahraga,195000,0,,
7689534404,CONSINA HALLSTATT RANSEL LAPTOP URBAN TRAVEL,242550,0,23,4.913043478260869
7557048003,Consina Kupluk,95000,0,6,4.833333333333333
6463746724,Consina Tundra Grip Sandal Jepit Gunung,125000,0,115,4.878260869565217
643926702,Consina Thompson Celana Pendek Hiking Pria,173250,0,178,4.612359550561798
8211382282,CONSINA ASKOLE SEPATU HIKING GUNUNG OUTDOOR,1030805,0,1,5.0
7961374166,Consina TPJ 42 Topi Snapback,80000,0,1,5.0
878932685,Consina Quickness Celana Pendek Pria/Wanita Strech Quickdry Mudah Kering,113850,0,199,4.8793969849246235
8010796813,Consina Clothing Pack 02 XL,65000,0,,
