itemId,Nama Barang,Harga,Terjual,Review,Rating
4908274225,EIGER CERVUS WAISTBAG,189050,0,1640,4.902439024390244
7714104856,EIGER MEMPHIS SHOES,559000,0,46,4.934782608695652
7870482363,EIGER CAMFEST EAR BEANIE,55300,133 sold,76,4.868421052631579
7691370113,EIGER KENTAWAN HD FZ SWEATSHIRT,529000,0,81,4.839506172839506
6876504218,EIGER X-CORDYLINE WALLET 1.0,47200,3.6K sold,1963,4.910341314314825
5025446483,EIGER STRIKE BEANIE,47400,1.2K sold,423,4.91016548463357
8156358978,EIGER Z-VANQUISH 1.3 TANK BAG S,431400,0,2,3.0
8035956320,EIGER KAKABAN 620ML BOTTLE,179000,0,26,4.961538461538462
7760008615,EIGER PORTEGE VERTICAL POUCH 1A,227050,0,138,4.927536231884058
4587976909,EIGER KINKAJOU PINCH 2.0 SANDALS,183200,52.4K sold,16118,4.9321255738925425
6592630464,EIGER X-RIVLEM CAP NAVY,189000,0,226,4.94331983805668
4254008780,EIGER X-MARONDERA SHIRT (LONG SLEEVES),209300,0,57,4.982456140350878
8172462865,EIGER HILLWANDER PATTERN BEANIE,80100,0,32,4.90625
6001642991,EIGER CLUVER CAP,139000,0,259,4.903474903474904
7410030314,EIGER COPPER 2.0 WATCH,341400,253 sold,114,4.9298245614035086
8148722875,EIGER JR MINIFY SHOULDER 2L 1A,170050,0,39,4.666666666666667
7947670723,EIGER DESCENT 20 LAPTOP BACKPACK,439000,0,7,5.0
7973160841,EIGER MAREESHA TOTE BAG WS,185400,37 sold,16,4.9375
5576860569,EIGER NIGHT SPARKLE 1.0 SWEATER,251400,247 sold,101,4.910891089108911
5600038578,EIGER HARPOON SHOELACES,39000,0,176,4.9772727272727275
8003892215,EIGER WS MANGATA 2.0 WALLET,89400,20 sold,8,4.5
7895230041,EIGER CALDERA MEN 2.0 ROLL STRAP SANDALS,319000,0,29,4.9655172413793105
7895096312,EIGER TROCADERO OLEANDER 2.0 SANDALS,259000,0,19,4.947368421052632
7096278204,EIGER BISCOE-WAYFARER SUNGLASSES,329000,0,20,4.95
6147240163,EIGER FIORA SACOCHE BAG,246050,0,84,4.954545454545454
5963238011,EIGER ARCH 12 WOMAN BACKPACK,189000,0,75,4.76
2156990619,EIGER STRADALE 1.1 LEGPACK RD,284050,0,74,4.945945945945946
8042018087,EIGER JR MINIFY PACK 5L 1A KIDS,229000,0,52,4.711538461538462
6876638938,EIGER MONBELT 1.0 WAIST BAG,113050,215 sold,92,4.89247311827957
5999068972,EIGER THRIFT WALLET BROWN,116100,0,211,4.895734597156398
5334634296,EIGER SENTINEL POUCH,170100,0,267,4.928838951310861
4533786040,EIGER VESSEL 1F WAIST BAG,159200,13.3K sold,2667,4.909636295463067
8035878906,EIGER X-MARKET POUCH 1A,103550,171 sold,48,4.875
5916130220,EIGER X-WOODMOUNT POLO SHIRT,215100,0,141,4.98581560283688
7947742203,EIGER CONCEAL 2.0 SLING BAG,189050,240 sold,21,4.761904761904762
2156704585,EIGER GEOMETRICA WALLET,89000,11.2K sold,2962,4.928426738690074
2197842604,EIGER ROLLICK. SUNGLASSES,199000,6.3K sold,1563,4.90850927703135
4551066086,EIGER X-PORTEGE CAMERA POUCH,265050,0,198,4.924242424242424
6950878701,EIGER 5 MM PEAR SHAPE CARABINER 2 PC KEYCHAIN,35100,287 sold,133,4.909774436090226
5938440969,EIGER COFETE WS 1.0 SANDALS,125100,0,297,4.882154882154882
5025446483,EIGER STRIKE BEANIE,47400,1.2K sold,423,4.91016548463357
6876504218,EIGER X-CORDYLINE WALLET 1.0,47200,3.6K sold,1963,4.910341314314825
5660232456,EIGER BINER POUCH,62100,0,362,4.942093541202673
2156704585,EIGER GEOMETRICA WALLET,89000,11.2K sold,2962,4.928426738690074
4947668035,EIGER COVERBAG S,59000,4.5K sold,1482,4.963562753036437
5088418538,EIGER FLECKEN CARD WALLET,55200,1.8K sold,628,4.952229299363057
5053344648,EIGER FLECKEN LANDSCAPE WALLET,89000,3.7K sold,950,4.932631578947368
2156954373,EIGER ALTINGIA EXCELSA WALLET,95200,9.1K sold,2756,4.915094339622642
4950076252,EIGER MIST FOREST 1.1 WALLET,103200,3.5K sold,834,4.920863309352518
4533540928,EIGER NEOGA WALLET,89000,3.0K sold,974,4.903490759753593
7985324119,EIGER ETHNO WALLET BIFOLD,98100,137 sold,70,4.942857142857143
4947506620,EIGER COVERBAG M,55200,4.1K sold,1392,4.974856321839081
5088514055,EIGER COMMANDO CADET 1.0 CAP,89400,2.0K sold,672,4.824404761904762
4534322081,EIGER WALEETKA WALLET,95200,2.5K sold,668,4.93562874251497
4849924066,EIGER BLANCA-MDW WATCH,391200,6.5K sold,1857,4.947226709746904
4533596531,EIGER CONSERVE 2.0 WAIST BAG,170050,0,2193,4.9416324669402645
4947520930,EIGER COVERBAG L,79000,2.9K sold,755,4.96158940397351
5696554143,EIGER X-PICK SMALL POUCH,113050,2.2K sold,623,4.928571428571429
5611252061,EIGER CALDERA PINCH 2.0 SANDALS,207200,11.2K sold,4600,4.909565217391305
4587976909,EIGER KINKAJOU PINCH 2.0 SANDALS,183200,52.4K sold,16118,4.9321255738925425
6221144353,EIGER HANG ON WALLET,98100,3.1K sold,1131,4.938107869142352
7985264984,EIGER FIGURE EIGHT BRACELET,62100,111 sold,71,4.845070422535211
6761952084,EIGER X-SUNDA SACHOCE 1.0 SHOULDER BAG,101400,184 sold,72,4.958333333333333
6219316195,EIGER SUNSHINY WAIST BAG,149000,0,203,4.891625615763547
4976246676,EIGER X-MARKET POUCH,103550,0,1294,4.9621329211746525
4588422435,EIGER X-INVIERNO BEANIES,63200,2.5K sold,1052,4.929657794676806
6391112126,EIGER EQUATOR LINE WALLET 1.0,116100,0,382,4.953002610966058
5761082453,EIGER FLAGGE CAP,143100,0,273,4.922535211267606
8156360994,EIGER PVC TRITAN WALLET 1.0,107100,0,1,4.0
7947638945,EIGER CANVAS HORIZONTAL 1.2 WALLET,107100,241 sold,60,4.983333333333333
4533674310,EIGER PERCHA WALLET,98100,0,46,5.0
5999068972,EIGER THRIFT WALLET BROWN,116100,0,211,4.895734597156398
7870482363,EIGER CAMFEST EAR BEANIE,55300,133 sold,76,4.868421052631579
