itemId,Nama Barang,Harga,Terjual,Review,Rating
8192438461,PUMA Sepatu Slip-On Softride Enzo Evo,999000,0,150,4.966666666666667
8192266089,PUMA Sepatu Sneaker Wanita SOFTRIDE Orla Metallic Dream,999000,0,15,4.866666666666666
7698974295,PUMA Sepatu Lari Aviator,1199000,0,225,4.933333333333334
7698744152,PUMA Jaket Track Scuderia Ferrari Race MT7,2098650,0,37,5.0
8286458988,PUMA Sepatu Training FTR Connect FS,649350,18 sold,12,4.75
8313528156,PUMA Kaos Grafis BMW M Motorsport Motions,799000,0,,
7278644550,PUMA Sepatu Smash Leather Sneakers,999000,336 sold,169,4.893491124260355
8226036911,PUMA Sepatu Sneaker Wanita CA Pro,1124250,0,,
8313428789,PUMA Jaket Tenun Pria,1599000,0,,
8069124153,PUMA Legging Wanita Esensial Logo,307450,0,4,5.0
8009398175,PUMA Kaos Training Pria Performance Cat,246350,0,9,5.0
8192236580,PUMA Sepatu Sneaker Graviton Mega,1099000,0,36,4.972222222222222
8313444681,PUMA Polo Grafis BMW M Motorsport Motions Pria,899000,0,,
8313440727,PUMA Kaos Lengan Panjang Pria PUMA,999000,0,,
8313532119,PUMA Kaus Lari Heather Pria RUN FAVOURITE,729000,0,,
7278828700,PUMA ESS Woven Kids' Cap,135150,44 sold,15,4.866666666666666
7984756441,PUMA Sepatu Basket Court Rider I,2124150,0,15,4.866666666666666
7280246780,PUMA Ransel Wanita Prime Time,419400,0,16,5.0
8313488294,PUMA Kaos Pria Logo Active Small,349000,0,,
8313428791,PUMA Kaos Pria Logo Active Small,239000,0,,
7678954147,PUMA Tas Portable Evo Essentials,449000,0,25,4.88
8164534858,PUMA Anzarun Lite SlipOn,599250,0,49,4.938775510204081
7984576224,PUMA Better Foam Prowl Alt Sepatu Jalan Wanita,1379000,0,51,4.921568627450981
7699194113,PUMA Kaus Wanita Logo Esensial,168350,271 sold,121,4.892561983471074
8313478341,PUMA Tank Pria CLOUDSPUN,599000,0,,
7283096273,PUMA Sandal Leadcat Slide,499000,289 sold,129,4.7984496124031
8313412965,PUMA Kaus Oversized Wanita CLASSICS+,549000,0,,
7698762302,PUMA Kaos Pria PUMA Graphic P,233350,0,723,4.910096818810512
8163230750,PUMA Popcat 20 Shower,424150,0,1,5.0
8313430791,PUMA Kaus Polo Golf Lengan Pendek Wanita CLOUDSPUN Zebra,939000,0,,
8313406998,PUMA PUMA Hijab Women,579000,0,,
7698408904,PUMA Sepatu Training Infusion,1599000,0,38,5.0
8313458524,PUMA Kaos Grafis Bayi Perempuan DOWNTOWN,479000,0,,
7699148204,PUMA Kaos Pria Bergambar PUMA Outline,233350,1.8K sold,905,4.881767955801105
8192420722,PUMA Sepatu Lari Wanita Softride Ruby Luxe,1299000,49 sold,22,5.0
7698986161,PUMA Sepatu Sneakers Wanita Carina Lux,1099000,0,104,4.961538461538462
7698754266,PUMA Legging Wanita Metalik Essentials+,226850,0,32,4.90625
8313440720,PUMA Kaos Bergaris Perempuan Slim CLASSICS,549000,0,,
7697794761,PUMA Sepatu Lari Transport Modern,519350,27 sold,9,5.0
8226040132,PUMA Sepatu Sneakers CA Pro Suede FS,1274250,0,6,5.0
7984762294,PUMA Sepatu Kets Langkah,699500,237 sold,79,4.924050632911392
7984758444,PUMA Sepatu Wanita Kulit Carina,1099000,0,2,5.0
7984774011,PUMA Sepatu Sneakers RS-X Reinvention,1044450,0,2,5.0
8287378641,PUMA Popcat 20 Sandal Bayi Tali Belakang,299000,248 sold,50,5.0
7956398452,PUMA Sepatu Lari Wanita Softride Remi Slip-on Knit,999000,0,69,4.9855072463768115
8286472942,PUMA Fusion Crush Sport Golf Shoes Youth,939000,0,,
7282508845,PUMA Sepatu Lari Flyer,799000,0,76,4.842105263157895
7678918264,PUMA Sepatu Lari Flyer Flex Platinum Gray-Rose Dust-PUMA White,899000,0,72,4.958333333333333
8286742321,PUMA Sepatu Lari Transport Modern,799000,11 sold,5,5.0
7914090869,PUMA Sepatu Lari NRGY Comet,899000,0,41,4.951219512195122
8009082926,PUMA Sepatu Sneaker Slip-On Anzarun Lite,799000,481 sold,145,4.958620689655173
7956406434,PUMA Sandal Selop Shibui,899000,0,,
7699892256,PUMA Sepatu Training Wanita Disperse XT 3,714350,0,1,5.0
8009290663,PUMA Anzarun Lite Sneakers,799000,0,,
8154570342,PUMA Sepatu Lari Street Enzo 2 Unisex,899000,0,7,5.0
7914352534,PUMA Sepatu Trainer R22,1299000,0,23,4.913043478260869
7956386556,PUMA Shuffle Sneakers,749250,0,144,4.958333333333333
7914124884,PUMA Sepatu Lari Flyer,799000,0,67,4.955223880597015
8009284689,PUMA Anzarun Lite Sneakers,799000,0,,
8287280854,PUMA Sepatu Golf Disc Pria Shadowcat NITRO™,2299000,0,,
8287514818,PUMA Slide Wanita Cool Cat 2.0 BX,408850,0,,
8287422085,PUMA Enzo 2 Clean Unisex Running Shoes,999000,5 sold,3,5.0
8287550510,PUMA teamGOAL Football Gym Sack,199000,0,,
7698992033,PUMA Sepatu Varion II Indoor Sports,999000,0,3,5.0
8287358845,PUMA Sepatu Golf Pria Fusion Crush Sport,1449000,0,,
7956442004,PUMA Sepatu Lari Resolve Modern,674250,0,3,5.0
7984714886,PUMA Sepatu Sneakers Shuffle Perforated,999000,22 sold,11,5.0
8163178157,PUMA Transport,649350,0,1,5.0
7700118371,PUMA Tas Bahu PUMA Phase Portable,161850,0,140,4.9071428571428575
8286752290,PUMA Sepatu Golf Electrocat NITRO™,2299000,0,,
7698884988,PUMA Tas Ransel Kecil PUMA Phase,359000,0,8,4.625
8008942528,PUMA Sepatu Sneaker Anak-anak Carina 2.0 Holo,749250,0,,
8287424021,PUMA Sepatu Golf Pria Avant,2099000,0,,
8009480033,PUMA Sepatu Sneaker Anak-anak PUMA x ONE PIECE Suede,1172150,0,,
8287538442,PUMA Sandal Basket MB.03,519350,0,,
7280058265,PUMA Tas Ransel Wanita Time Minime,419400,0,24,4.916666666666667
7698426575,PUMA Sepatu Sneaker Wanita Cali Dream Clean,1104350,0,3,5.0
8193522157,PUMA Topi Ember PUMA SQUAD,459000,0,2,5.0
8287532499,PUMA Sandal Basket MB.03,519350,0,,
8154552395,PUMA Sneaker lari uniseks SOFTRIDE Flex Vital,1299000,0,1,5.0
8313408986,PUMA Atasan Wanita Ritsleting Pendek PUMA RUN CLOUDSPUN,1199000,0,,
7984714888,PUMA Sepatu Sneaker Rebound V6 Low,824250,0,,
7697992025,PUMA Sepatu Training Smash Vulcanised V3 Low,999000,0,19,4.7894736842105265
7697836910,PUMA Sepatu Training Smash Vulcanised V3 Low,999000,0,15,4.666666666666667
7679630407,PUMA Sandal Popcat 20 Puma White-Puma Black,499000,0,7,5.0
8287560274,PUMA Popcat 20 Backstrap Kids' Sandals,359000,53 sold,10,5.0
7678890656,PUMA Sepatu Skye Women's Trainers Whisper White-Yellow Pear-Blue Glow-Cloud Pink,1099000,0,49,4.938775510204081
7678910386,PUMA Sandal Leadcat Slide black-white,499000,177 sold,57,4.912280701754386
8287542665,PUMA Phase Backpack No. 2,399000,0,4,5.0
7984752591,PUMA Sandal Unisex Popcat 20 GirlPower,424150,0,8,4.75
8193630069,PUMA Kaos Pria Logo ESS,220150,0,,
7956430048,PUMA Sepatu Lari Flyer Lite,679150,0,25,4.88
8192420710,PUMA Sepatu Sepak Bola Remaja FUTURE 7 PLAY FG/AG,799000,0,8,5.0
8286722366,PUMA x NEYMAR JR FUTURE 7 MATCH FG/AG Football Boots,1124250,0,22,4.954545454545454
8193530002,PUMA Topi III Esensial,199000,0,13,4.923076923076923
8287994266,PUMA Jaket Hoodie Wanita Essentials Full-Zip,560150,0,12,4.5
7699240016,PUMA Kaus Wanita Logo Kecil Esensial,155350,0,74,4.945945945945946
7280240866,PUMA Ransel Wanita Prime Time Minime,419400,53 sold,12,5.0
7699150227,PUMA Kaus Pria Logo Esensial,200850,0,109,4.761467889908257
8288906229,PUMA Jaket Hoodie Pria Essentials Small Logo Full-Zip,560150,80 sold,27,4.962962962962963
7678892614,PUMA Sepatu Trainer Caracal Puma White-Puma Black-Gray Violet,1099000,0,37,4.864864864864865
8287516969,PUMA Bola Sepak Prestige,269250,7 sold,2,5.0
7699138257,PUMA Kaus Polo Pria Pique Esensial,246350,0,409,4.885365853658537
8192420712,PUMA Softride Flex Knit Men's Slip-On Shoes,899000,0,47,4.958333333333333
7699230060,PUMA Kaus Wanita Berlogo Metalik Essentials+,168350,0,59,4.8474576271186445
8192450238,PUMA Sepatu Lari Scend Pro,899000,164 sold,60,4.933333333333334
8286738322,PUMA Sepatu Sepak Bola FUTURE 7 PLAY FG/AG,999000,0,7,4.857142857142857
7698774297,PUMA Kaus Kaki PUMA Unisex Quarter 3 Pasang,126650,140 sold,65,4.953846153846154
7956386575,PUMA Sepatu Sneakers Bari Casual Canvas,999000,324 sold,155,4.929032258064516
8192424779,PUMA Sepatu Lari Scend Pro,899000,24 sold,6,5.0
8288890294,PUMA Kaos Wanita Berlogo Metalik Essentials+,220150,13 sold,3,5.0
8111754128,PUMA Sepatu Sepak Bola Remaja FUTURE 7 PLAY FG/AG,799000,0,6,5.0
8193514256,PUMA Tas Tote Mini Core Up,499000,0,12,4.916666666666667
8192450215,PUMA Softride Flex Knit Men's Slip-On Shoes,899000,0,34,4.882352941176471
7442020779,PUMA Sepatu Lari Retaliate 2 High Risk Red-Puma Black,1299000,0,30,4.733333333333333
7956416273,PUMA Sepatu Lari Better Foam Legacy,934150,0,12,5.0
8286696789,PUMA Romantis Cilia Regent Sepatu Kets Wanita,733850,14 sold,5,4.8
7678880985,PUMA Sandal Leadcat 2.0 Suede OG PUMA Black-PUMA White-Metallic Gold,679150,0,3,5.0
8191024315,PUMA Sepatu Sneakers Ever FS,899000,34 sold,19,4.7894736842105265
8193512622,PUMA Ransel teamGOAL,399000,16 sold,6,4.666666666666667
8111720551,PUMA Wave Mule,494250,0,2,5.0
8232774996,PUMA Kaus Kaki Seperempat Unisex 3 Paket,149250,5 sold,2,5.0
7984710976,PUMA Sepatu Sneaker Wanita Slipstream PRM,934450,0,2,5.0
8192412827,PUMA Softride Flex Knit Men's Slip-On Shoes,899000,0,101,4.9405940594059405
8193530383,PUMA Tas Pinggang PUMA Style,399000,0,2,5.0
8232650331,PUMA Kaos BMW M Motorsport Calder,679150,0,1,5.0
8225918215,PUMA Sepatu Sneaker Wanita Cali Dream Dalmatian,1124250,0,,
8008298994,PUMA Kemeja Kitten Pria DOWNTOWN,549450,0,1,4.0
8193588558,PUMA Kaus Statement Pria Berlogo BMW M Motorsport,679150,0,,
8287542663,PUMA Training Essential Premium Gloves,559000,0,,
7679620553,PUMA Sepatu Sneaker Slipstream Bball PUMA White-Archive Green,934450,22 sold,13,4.846153846153846
8192268083,PUMA Sepatu Sneaker Anak-anak PUMA Smash 3.0 Badges,659000,0,,
8192448222,PUMA Sepatu Sneakers Anak-anak Anzarun Lite,629000,0,7,5.0
8260778172,PUMA Kaus Kaki Seperempat Paket 2 untuk Remaja,96750,0,,
8286486881,PUMA Sandal Anak-Anak Cool Cat 2.0,399000,0,,
7984764306,PUMA Sepatu Sneaker Unisex Ferrari Suede,1027950,0,3,5.0
8287542460,PUMA Sepatu Sneakers Youth All-Day Active,611150,0,1,5.0
7984756439,PUMA Sepatu Kets Wanita Mayze Mix,989450,0,2,4.5
8286572023,PUMA Sepatu Sneakers Anak-Anak All-Day Active Alternative Closure,594150,0,,
7283078408,PUMA Kaus Training Wanita Favourite Heather Cat,359400,0,1,5.0
7984764305,PUMA Sepatu Sneaker Unisex Hypnotic Metallic Shine,899250,0,3,5.0
8287516772,PUMA Sepatu Kets Velophasis Born In The 2000s,1899000,0,,
8192268088,PUMA Sandal Wanita Popcat 2.0 Coquette,499000,0,,
8287538644,PUMA Topi Fundamentals,199000,0,1,5.0
8232530483,PUMA Sweatpant Wanita DOWNTOWN Relaxed,714350,0,,
7698896906,PUMA Sarung Tangan Penjaga Gawang PUMA ULTRA Play RC,219450,0,,
8287560284,PUMA Sepatu Dribble,1199000,0,,
8232762110,PUMA Kaos Santai TEAM,324350,0,1,5.0
8286698803,PUMA Sandal Anak-Anak Cool Cat 2.0,399000,0,,
8164666886,PUMA Running Visor,259000,6 sold,2,5.0
8069102376,PUMA Kaus Polo Pria Scuderia Ferrari Team,999000,0,5,5.0
8192416747,PUMA Sepatu Lari Night Runner V3,799000,0,8,5.0
8286724559,PUMA R78 Summer Camp Kids' Sneakers,747150,0,,
8286480940,PUMA Sandal Youth Cool Cat 2.0,399000,0,1,5.0
8286518564,PUMA Sandal Anak-Anak Cool Cat 2.0,399000,0,,
8287560275,PUMA Evolve AC Sandals Kids,559000,0,,
7956392541,PUMA Sepatu Lari Pria Velocity NITRO™ 3,1964250,0,,
8287538633,PUMA Legging Wanita Metalik Essentials+,296650,0,1,5.0
7341510799,PUMA Running Cap III,259000,0,147,4.870748299319728
8192416746,PUMA Sepatu Lari Night Runner V3,799000,0,5,5.0
8193526039,PUMA Topi Flatbrim ESS No. 1,399000,0,,
8193524293,PUMA Topi Bucket Essentials Logo,459000,0,,
7278660348,PUMA Topi III Esensial,199000,98 sold,46,4.913043478260869
7956436832,PUMA Topi Metal Cat,305150,0,6,4.833333333333333
8260612674,PUMA Kaus Pria Berlogo Kecil CLASSICS,349000,0,,
8286566099,PUMA Pelatih Remix Lay Up Rebound,674250,0,1,5.0
8193518192,PUMA Tas Olahraga Medium Fundamentals,559000,0,,
8260696226,PUMA Topi Lari Esensial,199000,0,,
8149966367,PUMA Sweatpant Remaja Berlogo Essentials,449000,0,1,5.0
8287540647,PUMA PR Running Waistband,559000,0,,
7984720974,PUMA Sepatu Basket Genetics,1124250,7 sold,4,5.0
7846872609,PUMA Topi Fundamentals,199000,6 sold,2,5.0
8111758231,PUMA Kaus Wanita Logo Kecil Esensial,155350,0,5,5.0
7984716987,PUMA FENTY x PUMA Creeper Phatty Sepatu Unisex,1399300,0,2,5.0
8164594454,PUMA Anzarun Lite,799000,0,,
8286472907,PUMA Sepatu Golf Wanita Fusion Crush Sport,1359000,0,,
8162406083,PUMA Anzarun Lite SlipOn,799000,0,45,4.933333333333334
7956546837,PUMA Sweatpant Remaja PUMA SQUAD,389350,0,2,5.0
8287516963,PUMA Topi III Esensial,199000,0,,
8287554291,PUMA FENTY x Creeper Phatty Earth Tone Sneakers Anak-anak,769300,0,,
7698320967,PUMA Topi Porsche Legacy,475150,0,1,5.0
8193522167,PUMA Ransel PUMA Phase II,459000,0,5,4.8
8193516225,PUMA Tas Shopper Core Base,359000,12 sold,6,5.0
7956584165,PUMA Hoodie Remaja Active Sports Full-Zip,519350,0,16,4.875
7987854041,PUMA Kaos Bergambar PUMA LEGACY,395450,0,2,5.0
8162326160,PUMA Softride Harmony Slip Wns,1099000,0,,
8193858065,PUMA Hoodie Anak ESS+,499000,0,1,5.0
7984552689,PUMA Sepatu Lari Aviator,1199000,0,26,4.851851851851852
8232656718,PUMA Celana Pendek BETTER CLASSICS,384450,0,3,5.0
8286492669,PUMA Sandal Uniseks BMW M Motorsport Leadcat 2.0,759000,0,,
8286736382,PUMA Flyer Runner V Seepatu Sneakers anak-anak,594150,0,4,5.0
8260582805,PUMA Hoodie Anak PUMA x TROLLS,699000,0,1,5.0
8009292649,PUMA Sepatu Sneaker Anak-anak PUMA x TROLLS Caven 2.0,749250,0,,
8193516237,PUMA Ransel PUMA S,559000,0,2,4.5
8286738381,PUMA Sepatu Lari Uniseks Ease In SOFTRIDE Carson,899000,0,1,5.0
7441490539,"PUMA Celana Pendek Mesh Pria PUMA Team 8""",569400,0,2,5.0
8008316966,PUMA Jaket Pria Downtown,844350,0,,
8260766866,"PUMA Celana Pendek Ketat Wanita HYPERNATURAL 5""",729000,0,,
7956554526,PUMA Hoodie Anak-anak PUMA x TROLLS,384450,0,2,5.0
7341522486,PUMA Topi Fundamentals,169150,0,9,4.777777777777778
